,rates
AED,3.965509
AFN,75.087985
ALL,101.662278
AMD,435.617611
ANG,1.94754
AOA,897.839031
ARS,393.108226
AUD,1.637008
AWG,1.946313
AZN,1.840201
BAM,1.96217
BBD,2.181883
BDT,118.865865
BGN,1.957111
BHD,0.407092
BIF,3081.707035
BMD,1.079785
BND,1.448147
BOB,7.46731
BRL,5.297641
BSD,1.080608
BTC,2.4715161e-05
BTN,90.085171
BWP,14.672085
BYN,3.559655
BYR,21163.790427
BZD,2.178171
CAD,1.469046
CDF,2823.638088
CHF,0.945136
CLF,0.034063
CLP,939.898869
CNY,7.702542
COP,4320.015529
CRC,570.256462
CUC,1.079785
CUP,28.614308
CVE,110.73202
CZK,24.314652
DJF,191.899758
DKK,7.45581
DOP,61.44202
DZD,145.235789
EGP,33.361587
ERN,16.196778
ETB,60.792858
EUR,1.0
FJD,2.410831
FKP,0.857835
GBP,0.858246
GEL,2.893512
GGP,0.857835
GHS,12.957122
GIP,0.857835
GMD,72.723321
GNF,9291.55168
GTQ,8.458537
GYD,226.08602
HKD,8.436583
HNL,26.725013
HRK,7.603383
HTG,142.883833
HUF,382.038899
IDR,16758.266705
ILS,3.992992
IMP,0.857835
INR,89.998482
IQD,1414.518646
IRR,45647.920008
ISK,150.100915
JEP,0.857835
JMD,168.286295
JOD,0.76611
JPY,155.627822
KES,165.585628
KGS,96.446125
KHR,4448.714971
KMF,492.919764
KPW,971.780817
KRW,1420.365708
KWD,0.332855
KYD,0.90049
KZT,496.092049
LAK,22383.947708
LBP,16234.57068
LKR,353.273719
LRD,203.161997
LSL,20.461764
LTL,3.188325
LVL,0.653152
LYD,5.20414
MAD,10.903134
MDL,19.181267
MGA,4931.379342
MKD,61.582882
MMK,2269.182216
MNT,3734.975648
MOP,8.696411
MRU,42.765026
MUR,47.654213
MVR,16.575224
MWK,1812.401237
MXN,18.816368
MYR,5.041502
MZN,68.296362
NAD,20.462275
NGN,867.607348
NIO,39.681855
NOK,11.75242
NPR,144.130877
NZD,1.750915
OMR,0.415546
PAB,1.080608
PEN,4.05837
PGK,4.024577
PHP,59.829801
PKR,306.876816
PLN,4.333606
PYG,7962.923186
QAR,3.930956
RON,4.968526
RSD,117.560628
RUB,99.775564
RWF,1350.271425
SAR,4.049757
SBD,9.14363
SCR,14.313278
SDG,648.950766
SEK,11.231828
SGD,1.445077
SHP,1.313828
SLE,24.419594
SLL,21325.758466
SOS,617.100179
SRD,40.709042
STD,22349.374097
SYP,14039.217855
SZL,20.461759
THB,37.987062
TJS,11.805624
TMT,3.779248
TND,3.379191
TOP,2.551637
TRY,31.235058
TTD,7.338892
TWD,33.909601
TZS,2704.860914
UAH,39.637873
UGX,4078.238881
USD,1.079785
UYU,42.346879
UZS,13319.15082
VEF,3834517.436717
VES,38.346823
VND,26219.884747
VUV,129.197165
WST,2.967125
XAF,658.068862
XAG,0.045624
XAU,0.000534
XCD,2.918174
XDR,0.812638
XOF,655.97199
XPF,119.331742
YER,270.297223
ZAR,20.26123
ZMK,9719.371124
ZMW,26.232399
ZWL,347.690402
